case_name,incident_name,protocol_candidate,mechanism_raw,mechanism_candidate,mechanism_candidate_confidence,mechanism_candidate_rule,protocol_status,mechanism_status
doughfina,DoughFina,doughfina,Incorrect input validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
mrp,MRP,mrp,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
defiplaza,DeFiPlaza,defiplaza,loss of precision,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sbt,SBT,sbt,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
yodlrouter,YodlRouter,yodlrouter,Arbitrary Call,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ompxcontract,OMPx Contract,ompxcontract,FlashLoan,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ivestdao,iVest,ivestdao,Business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
spectra_finance,Spectra_finance,spectra_finance,Incorrect input validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
zenterest,Zenterest,zenterest,Price Out Of Date,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
convergence,Convergence,convergence,Incorrect input validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bankroll,Bankroll_Network,bankroll,Incorrect input validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
caterpillar_coin_cut,Caterpillar_Coin_CUT,caterpillar_coin_cut,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
otseastaking,OTSeaStaking,otseastaking,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bedrock_defi,Bedrock_DeFi,bedrock_defi,Swap ETH/BTC 1/1 in mint function,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
aizpttoken,AIZPTToken,aizpttoken,Wrong Price Calculation,arithmetic_or_precision_failure,low,multi_rule:arithmetic_or_precision_failure+oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
onyxdao,OnyxDAO,onyxdao,Fake Market,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
firetoken,FireToken,firetoken,Pair Manipulation With Transfer Function,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
hydt,HYDT,hydt,Oracle Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sashatoken,SASHAToken,sashatoken,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
morphoblue,MorphoBlue,morphoblue,Overpriced Asset in Oracle,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
penpiexyzio,Penpiexyz_io,penpiexyzio,Reentrancy and Reward Manipulation,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
vista,Vista,vista,flashmint receive error,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
labubu,LABUBU Token,labubu,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
pledge,Pledge,pledge,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
veth,vETH,veth,Vulnerable Price Dependency,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
gain,GAIN,gain,bad function implementation,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
it,IT,it,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
cloberdex,CloberDEX,cloberdex,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
98_token,98Token,98_token,Unprotected public function,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ast,Ast,ast,Price-Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ipc,IPC Incorrect burn pairs,ipc,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
xbridge,XBridge,xbridge,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
idols_nft,IdolsNFT,idols_nft,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
j_pulsepot,JPulsepot,j_pulsepot,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
lp_mine,LPMine,lp_mine,Incorrect reward calculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
laura_token,LAURAToken,laura_token,Pair Balance Manipulation,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
mosca2,Mosca2,mosca,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
roulette_pot_v2,RoulettePotV2,roulette_pot,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
mosca,Mosca,mosca,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
unilend,Unilend,unilend,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sorra_staking,SorStaking,sorra_staking,Incorrect reward calculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
hegic_options,HegicOptions,hegic_options,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bbx_token,BBXToken,bbx_token,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
alkimiya_io,Alkimiya_IO,alkimiya_io,unsafecast,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
dcf_token,DCFToken,dcf_token,Lack of Slippage Protection,economic_constraint_failure,medium,rule:economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
h2o,H2O,h2o,Weak Random Mint,randomness_failure,medium,rule:randomness_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
one_inch_fusion_v1_settlement_hack,1inch FusionV1 Settlement,one_inch_fusion_v1_settlement_hack,Arbitrary Yul Calldata,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
uni,UNI,uni,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
pump,Pump,pump,Not Slippage Protection,economic_constraint_failure,medium,rule:economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
yzi_ai_token,YziAI,yzi_ai_token,Rug Pull,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
btnft,BTNFT,btnft,Claim Rewards Without Protection,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
lifeprotocol,Lifeprotocol,lifeprotocol,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
w_key_dao,wKeyDAO,w_key_dao,unprotected function,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
irys_ai,IRYSAI,irys_ai,rug pull,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
krc_token_pair,KRC,krc_token_pair,deflationary token,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ydt_token,YDT,ydt_token,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
aave_boost,AAVEBoost,aave_boost,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
usual_money,UsualMoney,usual_money,Arbitrage,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
bankroll_network,BankrollNetwork,bankroll_network,Incorrect dividends calculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bankroll_stack,BankrollStack,bankroll_stack,Incorrect dividends calculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
gangsterfinance,Gangsterfinance,gangsterfinance,Incorrect dividends,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
gradient_maker_pool,GradientMakerPool,gradient_maker_pool,Price Oracle Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
resupply_fi,ResupplyFi,resupply_fi,Share price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
fpc,FPC,fpc,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
meta_pool,MetaPool,meta_pool,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
multicall_with_eth,MulticallWithETH,multicall_with_eth,arbitrary-call,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
rant_token,RANT,rant_token,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
swapp_staking,SWAPPStaking,swapp_staking,Incorrect Reward calculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
stepp2p,Stepp2p,stepp2p,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
abcc_app,ABCCApp,abcc_app,Lack of Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
grizzifi,Grizzifi,grizzifi,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
hexotic,Hexotic,hexotic,Incorrect Input Validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
multicall_with_xera,MulticallWithXera,multicall_with_xera,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
pdz,PDZ,pdz,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
size_credit,SizeCredit,size_credit,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
mim_spell3,MIMSpell3,mim_spell,Bypassed Insolvency Check,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
prxvt,PRXVT,prxvt,Bussiness Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
truebit,Truebit,truebit,OverFlow,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
mttoken,MTToken,mttoken,Incorrect Fee Logic,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
synaplogic,SynapLogic,synaplogic,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
makina,Makina,makina,Price Oracle Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
moonwell,Moonwell,moonwell,Faulty Oracle,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
laxo_token,LAXO Token,laxo_token,Incorrect Burn Logic,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
curve_llamalend,Curve LlamaLend,curve_llamalend,Share price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
alkemi_earn,AlkemiEarn,alkemi_earn,Business Logic,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
venus_the,Venus THE,venus_the,BorrowBehalf + Donation Attack,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
futureswap,FutureSwap,futureswap,Unit Mismatch,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
est,EST Token,est,Incorrect Token Burn Mechanism,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
